severity_level,severity_priority,reason,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
notice,3,zl_eva_n1_name_review,7,365.0,346.0,29.0,52.142857142857146,49.42857142857143,4.142857142857143,0.0838150289017341,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,dazi_attack_current_leaders_review,7,337.0,333.0,8.0,48.142857142857146,47.57142857142857,1.1428571428571428,0.024024024024024024,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,de_report_native_religion_culture_fopai_auto_review,7,322.0,323.0,29.0,46.0,46.142857142857146,4.142857142857143,0.08978328173374613,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,opinion_person_s3_release_long_video,7,312.0,312.0,1.0,44.57142857142857,44.57142857142857,0.14285714285714285,0.003205128205128205,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,eva_public_protest_urgent_event_review,7,303.0,308.0,9.0,43.285714285714285,44.0,1.2857142857142858,0.02922077922077922,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,audio_dedup_risk_social_current_affairs,7,295.0,301.0,30.0,42.142857142857146,43.0,4.285714285714286,0.09966777408637874,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,tuwen_keyboard_politics_users_related_300vv_review,7,293.0,296.0,23.0,41.857142857142854,42.285714285714285,3.2857142857142856,0.0777027027027027,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,local_sensitive_officials_s3_release_long_video,7,289.0,289.0,4.0,41.285714285714285,41.285714285714285,0.5714285714285714,0.01384083044982699,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,model_llm_ls_cangtoushi_risk_manual,7,286.0,280.0,6.0,40.857142857142854,40.0,0.8571428571428571,0.02142857142857143,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,resolution_ratio_anomaly_review,7,279.0,280.0,10.0,39.857142857142854,40.0,1.4285714285714286,0.03571428571428571,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,risk_of_illegal_fanqiang_download_app_v1,1,40.0,38.0,2.0,40.0,38.0,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,cartoon_leader_xp_pass,2,69.0,76.0,4.0,34.5,38.0,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,sqds_sqdl_czxxcc_review,5,185.0,185.0,8.0,37.0,37.0,1.6,0.043243243243243246,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,zhiling_blacklist_10794_unrecommend,7,255.0,253.0,13.0,36.42857142857143,36.142857142857146,1.8571428571428572,0.05138339920948617,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_comment_trans_video_12_gaofen_renshen,7,252.0,252.0,9.0,36.0,36.0,1.2857142857142858,0.03571428571428571,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,tuwen_eva_113553_gang_of_four_related_review,7,254.0,252.0,21.0,36.285714285714285,36.0,3.0,0.08333333333333333,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,tongzhihua_shezheng_review,7,241.0,240.0,15.0,34.42857142857143,34.285714285714285,2.142857142857143,0.0625,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,cartoon_leader_znl_eva,7,234.0,235.0,4.0,33.42857142857143,33.57142857142857,0.5714285714285714,0.01702127659574468,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,N1_report_sz_review,7,231.0,233.0,8.0,33.0,33.285714285714285,1.1428571428571428,0.034334763948497854,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,taiwan_wtc_sh,7,231.0,227.0,14.0,33.0,32.42857142857143,2.0,0.06167400881057269,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,xi_youzi_review,7,198.0,199.0,2.0,28.285714285714285,28.428571428571427,0.2857142857142857,0.010050251256281407,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,white_paper_review,7,196.0,193.0,2.0,28.0,27.571428571428573,0.2857142857142857,0.010362694300518135,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,toxic_culture_lgbt_make_friend_auto_review,7,188.0,188.0,14.0,26.857142857142858,26.857142857142858,2.0,0.07446808510638298,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,underage_xtc,7,183.0,183.0,2.0,26.142857142857142,26.142857142857142,0.2857142857142857,0.01092896174863388,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,eva_antidirt_KimJongUn_stop_pushing_0vv,7,181.0,181.0,10.0,25.857142857142858,25.857142857142858,1.4285714285714286,0.055248618784530384,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,eva_risk_of_illegal_load_ad_picture_low_score_v1_v0612,1,25.0,25.0,2.0,25.0,25.0,2.0,0.08,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,eva_115714_gov_affairs_above_pesticide_review,7,175.0,173.0,4.0,25.0,24.714285714285715,0.5714285714285714,0.023121387283236993,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,7c_sid_eva_review,7,166.0,169.0,8.0,23.714285714285715,24.142857142857142,1.1428571428571428,0.047337278106508875,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,review_sensitive_faces,7,162.0,161.0,3.0,23.142857142857142,23.0,0.42857142857142855,0.018633540372670808,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_yingshe_eva_laojiu_selfsee,5,118.0,115.0,8.0,23.6,23.0,1.6,0.06956521739130435,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
